заб	c,р,ю
зарра	о
заррабин	о
заррама-зарра	р
заррача	о,р
заррин	с
зарур	с
зарурат	о
зарурий	с
зарурият	о
зарурлик	о
зархарид	с
зарча	о
зарчува	о
заршунос	о
заряд	о
зарғалдоқ	о,с
зарҳал	о,с
зарҳалламоқ	ф
застава	о
затвор	о
зафар	о
зафарли	с
зафарнома	о
зах	с,о
заха	о
захаланмоқ	ф
захира	о
захкаш	о
захкашлик	о
захламоқ	ф
захлик	о
захм	о
захоб	о
заъфар	о,с
заъфарон	о,с
заққум	о
зағча	о
зағчакўз	о
заҳар	о
заҳар-заққум	о
заҳарламоқ	ф
заҳарланмоқ	ф
заҳарли	с
заҳарловчи	с
заҳаролуд	с
заҳарханда	о
заҳил	с
заҳмат	о
заҳматкаш	с
заҳот	р
заҳоти	р
заҳотиёқ	р
заҳр	о
заҳра	о
звено	о
зеб	о
зеб-зийнат	о
зебигардон	о
зебо	с
зеболанмоқ	ф
зеболик	о
зебоқад	с
зебоқомат	с
зебра	о
зебу	о
зенит	о,с
зенитка	о
зенитчи	о
зер	о
зер-забар	о
зерикарли	с
зерикмоқ	ф
зеро	б
зероки	б
зефир	о
зеҳн	о
зеҳнли	с
зид	с
зидд	с
зиддият	о
зиддиятли	с
зидлик	о
зидловчи	с
зиё	о
зиёд	р
зиёда	р
зиёкор	о
зиёли	с
зиён	о
зиён-заҳмат	о
зиёнли	с
зиёнчи	о
зиёрат	о
зиёратгоҳ	о
зиёратхона	о
зиёратчи	о
зиёфат	о
зиж	о
зийнат	о
зийнатламоқ	ф
зийнатли	с
зийрак	с
зийраклик	о
зикр	о
зикр-само	о
зикрхона	о
зикрчи	о
зил	с,о
зилдай	с
зилдек	с
зил-замбил	с
зилзила	о
зилзилабардош	с
зилзилашунослик	о
зиллат	о
зилол	с
зим	о
зимдан	р
зим-зиё	с
зимистон	о
зимма	о
зимн	о
зимнан	р
зим-ғойиб	о
зина	о
зинапоя	о
зингил	о
зинда	с
зиндон	о
зиндонбанд	с
зиндонбон	о
зиндони	о
зиндончи	о
зинних	о
зино	о
зинокор	о
зинокорлик	о
зинхона	о
зинқарча	о
зинғилламоқ	ф
зинҳор	р
зинҳор-базинҳор	р
зип	т
зипилламоқ	ф
зир	р,т
зира	о
зирава	о
зиравор	о
зиразор	о
зирак	о
зираламоқ	ф
зира-пиёз	о
зирапча	о
зирбак	о
зирвак	о
зир-зир	т
зирилламоқ	ф
зириқтирмоқ	ф
зирк	о
зирних	о
зироат	о
зироатчи	о
зироатчилик	о
зирқ-зирқ	т
зирқилламоқ	ф
зирқирамоқ	ф
зирқироқ	о
зирҳ	о
зирҳламоқ	ф
зирҳли	с
зирҳловчи	о
зич	с
зичламоқ	ф
зичлик	о
зиқ	р
зиқлик	о
зиқна	с
зиқналик	о
зиқнафас	о
зиқнов	о
зиғир	о
зиғирак	о
зиғирдай	с
зиғирдек	с
зиғиркор	о
зиғирпоя	о
зиғирча	с
зиғирчалик	сн
зиҳ	о
злотий	о
змеевик	о
зобит	о
зов	о
зовур	о
зовурчи	о
зодагон	о
зодиак	о
зое	о
зоелик	о
зойил	о
зок	о
зол	с
золдир	о
золим	о,с
золимлик	о	
золимона	р
зомби	о
зомин	с
зомча	о
зона	о
зонал	с
зонд	о
зони	о
зоний	о
зот	о
зонтик	о
зоо-	о
зоолог	о
зоология	о
зооним	о
зоопарк	о
зоотехник	о,с
зоотехника	о
зор	о
зора	ю
зора-мора	ю
зораки	ю
зор-зор	р
зорилламоқ	ф
зор-интизор	р
зор-муштоқ	р
зориқмоқ	ф
зорланмоқ	ф
зорлик	о
зорманда	о
зормонда	о
зот	о
зотан	м
зотдор	с
зотилжам	о
зотли	с
зотсиз	с
зоғ	о
зоғора	о
зоҳид	о
зоҳидлик	о
зоҳир	о
зоҳиран	р
зоҳирий	с
зубда	о
зубр	о
зубтурум	о
зув	т
зувала	о
зувалаламоқ	ф
зув-зув	т
зувилламоқ	ф
зувламоқ	ф
зуд	р
зудлик	о
зукко	с
зукколик	о
зул	о
зуллисонайн	с
зуллисонайлик	о
зулм	о
зулмат	о
зулмкор	с
зулол	с
зулук	о
зулукдай	р
зулукдек	р
зулумот	о
зулф	о
зулфак	о
зулфакдор	с
зулфин	о
зулфиқор	о,с
зулқаъда	о
зулҳижжа	о
зум	о
зумиллатар	о
зумламоқ	ф
зумрад	о,с
зумраша	о
зуннор	о
зурриёт	о
зуғум	о
зуҳал	о
зуҳд	о
зуҳра	о
зуҳур	о
зўлдир	о
зўр	о,с
зўрабор	с,о
зўравон	с,о
зўравонлик	о	
зўравор	с,о
зўраймоқ	ф
зўраки	с,р
зўр-базўр	р
зўриқмоқ	ф
зўриқиш	о
зўрламоқ	ф
зўрлик	о
зўрма-зўраки	с
зўрға	р
зўрғатдан	р
зўғата	о
зўғота	о
