-да	ю
дори-дармон	о
дориламон	о
доруламон	о
дориламоқ	ф
дорилбақо	о
дорулбақо	о
дорилмуаллимин	о
дорулмуаллимин	о
дорилфано	о
дорулфано	о
дорилфунун	о
дорилхалофат	о
доримоқ	ф
доринома	о
дориссалтана	о
дориссалтанат	о
доруссалтана	о
доруссалтанат	о
доритомизғич	о
дорифуруш	о
дорифурушлик	о
дорихона	о
доришунос	о
доришунослик	о
доришшифо	о
дорушшифо	о
доройи	о
дорпеч	о
дору	о
доруға	о
доруғона	о
дорчи	о
дорчин	о
дорчўп	о
доска	о
доскала	о
достон	о
достончи	о
достончилик	о
достоншунос	о
дотация	о
дохил	о
дохилий	с
доцент	о
дош	о
дошқозон	о
доя	о
доялик	о
дояча	о
доячи	о
доячилик	о
доғ	о
доғ-алам	о
доғ-армон	о
доғдор	с
доғ-доғ	т
доғ-дуғ	о
доғламоқ	ф
доғли	с
доғлик	с
доғлиқ	с
доғули	с
доғулилик	с
доғ-ҳасрат	о
доҳиёна	р
доҳий	о
доҳийларча	р
доҳийлик	о
драма	о
драмалаштирмоқ	ф
драматизм	о
драматик	с
драматург	о
драматургия	о
драп	о
драҳма	о
дрезина	о
дрель	о
дренаж	о
дренажлаш	ф
дрессировка	о
дрожжи	о
дружина	о
дружиначи	о
дуал	сн
дуализм	о
дуалист	о
дуалистик	с
дуб	о
дубб	о
дуб-дуруст	с
дубир	о
дубур	о
дублет	о
дублёр	о
дубликат	о
дубляж	о
дубулға	о
дув	р
дуварак	о,с
дувва	р
дувдоқ	о
дув-дув	р
дувол	о
дувуллаб	р
дуг	т
дугона	о
дугоҳ	о
дугчи	о
дуд	о
дуда	о
дудак	о
дудам	с
дудама	с,о
дудбура	о
дудбурон	о
дуд-дуд	т
дудкаш	о
дудлама	с
дудламоқ	ф
дудмол	с
дудоқ	о
дудуламоқ	ф
дудуқ	с
дудуқланмоқ	ф
дудуқлик	о
дужон	о
дудхона	о
дуз	о
дузд	о
дук	о,т
дукарт	о
дукартламоқ	ф
дук-дук	т
дукилламоқ	ф
дуккак	о
дуккакдошлар	о
дуккакламоқ	ф
дуккакли	с
дукки	с
дуккибош	с
дуккипешона	с
дуккулламоқ	ф
дукур	т
дукур-дукур	т
дукурламоқ	ф
дукурма	о
дукчи	о
дукчилик	о
дулдул	о
дум	о
дума	о
думак	о
думаламоқ	ф
думалоқ	с
думалоқламоқ	ф
думалоқ-сумалоқ	с
думахона	о
думба	о
думбадор	с
думба-жигар	о
думбали	с
думбалоқ	о
думбул	о
думбуллик	с
думдор	с
дум-думалоқ	с
думкашак	о
думли	с
думма-дум	р
думоқ	о
думпараст	о
думсимон	с
думча	о
думғаза	о
дунганлар	о
дунё	о
дунёвий	с
дунёдор	с
дунё-дунё	сн
дунёларча	р
дунёлик	о
дунёпараст	о
дунёқараш	о
дуо	о
дуогўй	о
дуоталаб	о
дуохон	о
дуохонлик	о
дуп	т
дуп-дуп	т
дупоя	о
дуппа-дуруст	с,р
дупур	т
дупур-дупур	т
дупурламоқ	ф
дур	о
дурагай	о
дурагайламоқ	ф
дурадгор	о
дурадгорлик	о
дурадгорчилик	о
дуралюмин	о
дуранг	о
дурафшон	о
дурахшон	с
дурая	с
дурбин	о
дур-гавҳар	о
дурда	о
дурда-дурда	с
дур-дароз	с
дурдона	о,с
дуркун	с
дурра	о
дуррача	о
дурронийлар	о
дурсилламоқ	ф
дуруст	с,у
дурустламоқ	ф
дурустлашмоқ	ф
дурустлик	о
дуруст-нодуруст	с
дуруғ	с
дурфишон	о
дурўя	о
дусақ	о
дуст	о
дустуман	р
дут	о,т
дуто	с
дутолик	о
дутор	о
дуторбоз	о
дуторбўйин	с
дуторчи	о
духоба	о
духобагул	о
духовка	о
духовой	о
духтар	о
дуч	о
дучава	о
дучўба	о
дучўва	о
дучма-дуч	р
дучор	о
душ	о
душанба	о
душвор	с
душман	о
душманлашмоқ	ф
душманлик	о
душманчилик	о
душохи	о
душхона	о
дуэль	о
дуэт	о
дуҳўл	о
дюжина	сн
дюйм	о
дюмлик	о
дюкер	о
дюна	о
дюналар	о
дюралюминий	о
дўзанда	о
дўзандалик	о
дўзах	о
дўзахи	о
дўкай	о
дўкон	о
дўкон-дастгоҳ	о
дўкондор	о
дўкондорлик	о
дўконхона	о
дўконча	о
дўкончи	о
дўл	о
дўлаймоқ	ф
дўлана	о
дўланмоқ	ф
дўлвар	с
дўлма	о
дўлоб	с
дўлоп	с
дўлта	с
дўлча	о
дўмбаймоқ	ф
дўмбалоқ	о
дўмбилламоқ	ф
дўмбира	о
дўмбирачи	о
дўмбоқ	с
дўмпаймоқ	ф
дўна-дўна	с
дўнг	о,с
дўнгалак	о
дўнглик	о
дўнгпешона	о
дўнгса	о
дўнгсалик	о
дўндирма	с
дўндирмоқ	ф
дўндиқ	с
дўндиқча	с
дўнмоқ		ф
дўнон	о
дўнғ	т
дўнғилламоқ	ф
дўп	т
дўп-дўп	т
дўпилламоқ	ф
дўпиллатмоқ	ф
дўпир	т
дўпир-дўпир	т
дўпирламоқ	ф
дўппаймоқ	ф
дўппи	о
дўппидўз	о
дўппидўзлик	о
дўппилик	с
дўппифуруш	о
дўппичи	о
дўппиқайтақи	о
дўппосдай	с
дўппосламоқ	ф
дўрдаймоқ	ф
дўрдоқ	с
дўрилдоқ	с
дўрилламоқ	ф
дўриллоқ	с
дўрмон	о
дўрсилламоқ	ф
дўсара	с
дўст	о,у
дўст-душман	о
дўст-ёр	о
дўстларча	р
дўстлашмоқ	ф
дўстлик	о
дўстона	с,р
дўстпарвар	о
дўхт	о
дўхта	о
дўхтир	о
дўқ	о,т
дўқ-давара	о
дўқ-дўқ	т
дўқилламоқ	ф
дўқир	т
дўқир-дўқир	т
дўқламоқ	ф
дўқол	с
дўқ-пўписа	о
дўқ-сиёсат	о
дўқ-таҳдид	о
дўққи	о
дўғаймоқ	ф
дўғлат	о
дўғоб	о
дўғов	о
